"spellname","checktime","signupdays","logindays","lastlogin","lastlogindiff","loginfrequency"
"chenjuanjuan","2015/11/4 15:33:00","95","1","2015/11/4","95","0.0105"
"zhuli","2015/8/3 17:01:25","188","2","2015/9/8","152","0.0106"
"dingyuxing","2015/11/5 14:21:48","94","1","2015/11/25","74","0.0106"
"heyuwen","2015/11/5 17:58:36","94","1","2015/11/9","90","0.0106"
"wanrong","2015/11/5 16:01:10","94","1","2015/11/5","94","0.0106"
"chenxiaoli","2015/11/5 11:02:43","94","1","2015/11/9","90","0.0106"
"haojie","2015/11/5 16:28:03","94","1","2015/11/5","94","0.0106"
"shangguanmingsheng","2015/11/5 16:34:16","94","1","2015/11/5","94","0.0106"
"zhahaiyan","2015/11/5 15:54:27","94","1","2015/11/5","94","0.0106"
"wangsiyuan","2015/11/5 16:57:31","94","1","2015/11/5","94","0.0106"
"zhangpan","2015/11/5 15:13:43","94","1","2015/11/5","94","0.0106"
"zhangxiujuan","2015/11/5 15:51:52","94","1","2015/11/5","94","0.0106"
"yeqingfeng","2015/11/5 15:07:41","94","1","2015/11/5","94","0.0106"
"xiaoyunfeng","2015/11/5 09:39:14","94","1","2015/11/5","94","0.0106"
"lvqun","2015/11/5 14:58:06","94","1","2015/11/5","94","0.0106"
"wangmengyi","2015/11/5 10:30:48","94","1","2015/11/5","94","0.0106"
"chenyijing","2015/11/5 15:31:23","94","1","2015/11/5","94","0.0106"
"huangwenyuan","2015/11/5 17:15:07","94","1","2015/11/12","87","0.0106"
"qiyuyan","2015/11/5 17:27:43","94","1","2015/11/12","87","0.0106"
"niming","2015/11/5 15:05:42","94","1","2015/11/5","94","0.0106"
"lizhen","2015/11/5 15:06:12","94","1","2015/11/5","94","0.0106"
"zhoutong","2015/11/5 14:38:55","94","1","2015/11/5","94","0.0106"
"tangguoqing","2015/8/4 14:45:31","187","2","2015/8/12","179","0.0107"
"xiamingyu","2015/8/4 15:47:24","187","2","2015/8/5","186","0.0107"
"yuhong","2015/11/6 15:41:56","93","1","2015/11/6","93","0.0108"
"buzhiwei","2015/11/6 16:16:01","93","1","2015/11/6","93","0.0108"
"xinwen","2015/11/6 15:25:59","93","1","2015/11/10","89","0.0108"
"wangwei_5","2015/11/6 15:05:15","93","1","2015/11/10","89","0.0108"
"zhaotong","2015/11/6 10:36:02","93","1","2015/11/6","93","0.0108"
"yangyuanyuan_1","2015/11/6 16:58:45","93","1","2015/11/6","93","0.0108"
"guanyumeng","2015/11/6 15:27:52","93","1","2015/11/6","93","0.0108"
"yaojianrong","2015/11/6 10:39:25","93","1","2015/11/6","93","0.0108"
"baiyi","2015/11/6 08:44:18","93","1","2015/11/6","93","0.0108"
"lixiaobo","2015/11/6 15:49:30","93","1","2015/11/6","93","0.0108"
"guokai","2015/11/6 11:48:33","93","1","2016/1/25","13","0.0108"
"liangshulian","2015/11/6 09:25:57","93","1","2015/11/17","82","0.0108"
"yuchao","2015/11/9 17:36:49","90","1","2015/11/11","88","0.0111"
"fangzhengyi","2015/11/9 10:42:03","90","1","2015/11/9","90","0.0111"
"zhongyi","2015/11/9 11:17:51","90","1","2015/11/9","90","0.0111"
"lujunli","2015/11/9 13:27:39","90","1","2015/11/22","77","0.0111"
"cuida","2015/11/9 11:21:26","90","1","2015/11/9","90","0.0111"
"zhaoqian_3","2015/11/9 13:46:52","90","1","2015/11/9","90","0.0111"
"lijiahuan","2015/11/9 10:25:38","90","1","2015/11/17","82","0.0111"
"zhangweiya","2015/11/9 09:39:20","90","1","2015/11/9","90","0.0111"
"xiongyunqiang","2015/11/9 14:56:20","90","1","2015/11/9","90","0.0111"
"wangye_1","2015/11/9 15:59:32","90","1","2015/11/9","90","0.0111"
"zhangsuola","2015/11/9 15:34:11","90","1","2016/1/19","19","0.0111"
"chenxixi","2015/11/9 15:14:24","90","1","2015/11/9","90","0.0111"
"yincailan","2015/11/9 15:13:41","90","1","2015/11/9","90","0.0111"
"sunbin","2015/11/9 16:02:41","90","1","2015/11/9","90","0.0111"
"zhangzhining","2015/11/9 15:28:04","90","1","2015/11/9","90","0.0111"
"liujing_5","2015/11/9 09:57:25","90","1","2015/11/9","90","0.0111"
"kankai","2015/11/9 13:40:01","90","1","2015/11/9","90","0.0111"
"caihanbao","2015/8/11 18:22:24","180","2","2015/8/13","178","0.0111"
"liusisi","2015/11/9 09:42:45","90","1","2015/11/9","90","0.0111"
"zengke","2015/11/9 10:54:21","90","1","2015/11/9","90","0.0111"
"wanghongyan","2015/11/9 16:28:18","90","1","2015/11/9","90","0.0111"
"chenshun_1","2015/11/9 14:42:58","90","1","2015/11/9","90","0.0111"
"wangyu","2015/11/9 10:04:29","90","1","2015/11/9","90","0.0111"
"ruanhui","2015/11/9 14:06:13","90","1","2015/11/11","88","0.0111"
"heqian","2015/11/9 16:00:37","90","1","2015/11/23","76","0.0111"
"caoshuwen","2015/11/9 16:08:28","90","1","2015/11/9","90","0.0111"
"sangjinqiao","2015/11/9 15:24:43","90","1","2015/11/9","90","0.0111"
"zhanghaiyuan","2015/11/9 11:30:47","90","1","2015/11/9","90","0.0111"
"hulingchun","2015/11/9 15:24:42","90","1","2015/11/9","90","0.0111"
"zouhao","2015/11/9 10:04:28","90","1","2015/11/9","90","0.0111"
"zhangxinyue_1","2015/11/10 14:05:04","89","1","2015/11/10","89","0.0112"
"liuyifeng","2015/11/10 14:33:40","89","1","2015/11/10","89","0.0112"
"huchuanfeng","2015/11/10 12:39:38","89","1","2015/11/10","89","0.0112"
"guowenlong","2015/11/10 15:20:35","89","1","2015/11/10","89","0.0112"
"sunchenge","2015/11/10 10:42:09","89","1","2015/11/10","89","0.0112"
"kongxiangyu","2015/11/10 13:37:06","89","1","2015/11/10","89","0.0112"
"haomingquan","2015/11/10 14:35:26","89","1","2015/11/10","89","0.0112"
"dingzhimin","2015/11/10 12:41:48","89","1","2015/11/10","89","0.0112"
"zhangweizhe","2015/11/10 15:49:41","89","1","2015/11/10","89","0.0112"
"zhangxinyuan_1","2015/11/10 12:39:37","89","1","2015/11/23","76","0.0112"
"xianghewei","2015/11/10 15:51:02","89","1","2015/11/10","89","0.0112"
"huqiwei","2015/11/10 16:27:02","89","1","2015/11/10","89","0.0112"
"chengyanhong","2015/11/10 14:14:42","89","1","2015/11/10","89","0.0112"
"fanjingjing","2015/11/10 15:29:34","89","1","2015/11/10","89","0.0112"
"zhangwenjun","2015/11/10 16:11:00","89","1","2015/11/10","89","0.0112"
"kuanggu","2015/11/10 14:35:27","89","1","2015/11/10","89","0.0112"
"xuzhanbin","2015/8/13 10:54:49","178","2","2016/1/6","32","0.0112"
"liuyuqiang","2015/11/10 16:49:53","89","1","2015/11/10","89","0.0112"
"sunbin_1","2015/11/10 14:04:12","89","1","2015/11/10","89","0.0112"
"yangjun","2015/8/12 10:03:50","179","2","2015/11/24","75","0.0112"
"zhangying","2015/11/10 14:37:50","89","1","2015/11/10","89","0.0112"
"gaokai","2015/11/10 14:28:54","89","1","2015/11/10","89","0.0112"
"lujing_1","2015/11/10 16:03:07","89","1","2015/11/10","89","0.0112"
"liukaiming","2015/11/10 15:43:02","89","1","2015/11/10","89","0.0112"
"zhangchao_2","2015/11/10 11:06:47","89","1","2015/11/10","89","0.0112"
"chentianlai","2015/11/10 11:06:46","89","1","2015/11/10","89","0.0112"
"niushuang","2015/11/10 16:11:09","89","1","2015/11/10","89","0.0112"
"shantingting","2015/11/10 11:45:18","89","1","2015/11/10","89","0.0112"
"liuxiaojiang_1","2015/11/10 14:09:32","89","1","2015/11/10","89","0.0112"
"shizhijian","2015/11/10 17:39:41","89","1","2015/11/27","72","0.0112"
"zhangming_4","2015/11/10 15:58:26","89","1","2015/11/10","89","0.0112"
"luyuhong","2015/11/10 15:55:01","89","1","2015/11/10","89","0.0112"
"liwanlu","2015/11/10 15:49:42","89","1","2015/11/10","89","0.0112"
"zengxukang","2015/11/10 16:50:14","89","1","2015/11/19","80","0.0112"
"chenghaibo","2015/11/10 15:10:37","89","1","2015/11/20","79","0.0112"
"hefang","2015/11/10 15:20:34","89","1","2015/11/10","89","0.0112"
"jiangpeihong","2015/11/10 09:26:54","89","1","2015/11/10","89","0.0112"
"qiushaomin","2015/11/10 16:38:10","89","1","2015/11/10","89","0.0112"
"lijingjing_1","2015/11/10 14:46:09","89","1","2015/11/10","89","0.0112"
"xiepingyuan","2015/11/10 17:38:31","89","1","2015/11/10","89","0.0112"
"yujialin","2015/11/10 15:29:17","89","1","2015/11/10","89","0.0112"
"dongruili","2015/11/10 15:29:35","89","1","2015/11/13","86","0.0112"
"luoweiyi","2015/11/10 15:37:40","89","1","2015/11/10","89","0.0112"
"liyashu","2015/11/10 11:24:43","89","1","2015/11/10","89","0.0112"
"liyingjuan","2015/11/10 12:40:06","89","1","2015/11/10","89","0.0112"
"fangxiaodan","2015/11/10 15:58:23","89","1","2015/11/10","89","0.0112"
"mindengqun","2015/11/10 14:50:04","89","1","2015/11/10","89","0.0112"
"yuqian","2015/8/14 10:33:32","177","2","2015/9/19","141","0.0113"
"yuying","2015/8/14 11:08:18","177","2","2015/8/17","174","0.0113"
"zhouyan","2015/11/11 11:52:06","88","1","2015/11/18","81","0.0114"
"daimengyu","2015/11/11 10:58:15","88","1","2015/11/16","83","0.0114"
"liboliang","2015/11/11 16:23:27","88","1","2015/11/11","88","0.0114"
"chenquan","2015/11/11 09:26:49","88","1","2015/11/11","88","0.0114"
"zhangweiya_1","2015/11/11 10:38:24","88","1","2015/11/11","88","0.0114"
"sunxiaoshi","2015/11/11 10:28:24","88","1","2015/11/11","88","0.0114"
"zhangxinxing","2015/11/11 14:51:53","88","1","2015/11/11","88","0.0114"
"dupeipei","2015/11/11 11:13:50","88","1","2015/11/11","88","0.0114"
"chenzhiwei_1","2015/11/11 14:42:35","88","1","2015/11/17","82","0.0114"
"chenxiaoxiao_1","2015/11/11 13:42:41","88","1","2015/11/11","88","0.0114"
"zhangyimeng","2015/11/11 16:12:42","88","1","2015/11/11","88","0.0114"
"shoulurong","2015/11/11 11:39:20","88","1","2015/11/11","88","0.0114"
"duanhua","2015/11/11 09:20:12","88","1","2015/11/11","88","0.0114"
"wuzhouyang","2015/11/11 15:30:42","88","1","2015/11/11","88","0.0114"
"yulei","2015/11/11 15:50:54","88","1","2015/11/24","75","0.0114"
"maluyang","2015/11/11 15:50:55","88","1","2015/11/11","88","0.0114"
"zhouleilei","2015/11/12 11:15:58","87","1","2015/11/12","87","0.0115"
"dingjia","2015/11/12 11:21:42","87","1","2015/11/12","87","0.0115"
"ruxiaofen","2015/11/12 11:42:13","87","1","2015/11/12","87","0.0115"
"yinwei","2015/11/12 11:13:42","87","1","2015/11/12","87","0.0115"
"yuanlitong","2015/11/12 15:02:49","87","1","2015/11/12","87","0.0115"
"jixiaowa","2015/11/12 15:23:14","87","1","2015/11/12","87","0.0115"
"zhangyao","2015/11/12 15:40:49","87","1","2015/11/12","87","0.0115"
"chenwenhui","2015/11/12 09:17:24","87","1","2015/11/20","79","0.0115"
"leiying_1","2015/11/12 14:10:39","87","1","2015/12/22","47","0.0115"
"lufeng","2015/8/17 16:59:58","174","2","2015/8/18","173","0.0115"
"lixiaolong","2015/11/12 11:58:48","87","1","2015/11/12","87","0.0115"
"cuizhendong","2015/11/12 16:53:49","87","1","2015/11/12","87","0.0115"
"chenwei_1","2015/11/12 13:07:15","87","1","2015/11/12","87","0.0115"
"xiarongdi","2015/11/12 14:19:59","87","1","2015/11/12","87","0.0115"
"yinruoqiong","2015/11/12 17:08:45","87","1","2015/11/13","86","0.0115"
"wangjie_1","2015/11/12 12:01:37","87","1","2015/11/12","87","0.0115"
"liujiaojiao","2015/11/12 15:35:02","87","1","2015/11/12","87","0.0115"
"jiangtian","2015/11/12 16:43:13","87","1","2015/11/12","87","0.0115"
"lenyun","2015/11/12 16:33:11","87","1","2015/11/12","87","0.0115"
"wangshuangrui","2015/11/12 10:10:58","87","1","2015/11/12","87","0.0115"
"wangjing_3","2015/11/12 10:06:26","87","1","2015/11/12","87","0.0115"
"liujing_4","2015/11/12 10:56:18","87","1","2015/11/12","87","0.0115"
"liqiang_1","2015/11/12 15:10:14","87","1","2015/11/12","87","0.0115"
"huangshuxiao","2015/11/12 15:40:49","87","1","2015/11/12","87","0.0115"
"wanglei_5","2015/11/12 15:10:13","87","1","2015/11/12","87","0.0115"
"huxinyu","2015/11/12 11:55:56","87","1","2015/11/18","81","0.0115"
"biefawen","2015/11/12 16:46:07","87","1","2015/11/12","87","0.0115"
"huangshuai","2015/11/12 15:18:33","87","1","2015/11/13","86","0.0115"
"jiaxuetao","2015/11/12 17:40:51","87","1","2015/12/3","66","0.0115"
"chenzhihao","2015/11/12 10:08:59","87","1","2015/11/23","76","0.0115"
"sunyihu","2015/11/12 17:02:06","87","1","2015/11/12","87","0.0115"
"caolei_1","2015/11/12 10:08:58","87","1","2015/11/12","87","0.0115"
"xumengxing","2015/11/12 16:44:03","87","1","2015/11/12","87","0.0115"
"shihe","2015/11/12 13:56:14","87","1","2015/11/12","87","0.0115"
"chenyu_1","2015/11/12 16:20:35","87","1","2015/11/12","87","0.0115"
"chenminghui","2015/11/12 15:29:07","87","1","2015/11/12","87","0.0115"
"wangshan","2015/11/12 17:44:01","87","1","2015/11/12","87","0.0115"
"zhangxiaoling","2015/11/12 08:47:37","87","1","2015/11/12","87","0.0115"
"zhangguannan_1","2015/11/12 15:29:08","87","1","2015/11/13","86","0.0115"
"xuhongjun_1","2015/11/12 15:25:14","87","1","2015/11/12","87","0.0115"
"yinliyu","2015/11/12 15:35:03","87","1","2015/11/12","87","0.0115"
"chenyusheng","2015/11/13 13:33:22","86","1","2015/11/25","74","0.0116"
"zhangtao_2","2015/11/13 16:06:14","86","1","2015/11/13","86","0.0116"
"liushujing","2015/8/19 16:22:54","172","2","2015/8/20","171","0.0116"
"lixinhang","2015/11/13 10:57:21","86","1","2015/11/17","82","0.0116"
"xiedecai","2015/11/13 16:56:32","86","1","2015/11/26","73","0.0116"
"shenqiutan","2015/11/13 11:00:57","86","1","2015/11/13","86","0.0116"
"jintieying","2015/11/13 11:04:03","86","1","2015/11/13","86","0.0116"
"sunqi_2","2015/11/13 10:31:45","86","1","2015/11/13","86","0.0116"
"liaozhengheng","2015/11/13 15:41:32","86","1","2015/11/13","86","0.0116"
"chenjian","2015/8/19 12:09:20","172","2","2015/11/11","88","0.0116"
"dongxiaolin","2015/11/13 11:11:36","86","1","2015/11/13","86","0.0116"
"hetian","2015/11/13 17:12:54","86","1","2015/11/13","86","0.0116"
"sunguohua","2015/11/13 11:56:39","86","1","2015/11/13","86","0.0116"
"xiashuhuai","2015/11/13 10:54:58","86","1","2015/11/13","86","0.0116"
"hujunpeng","2015/8/18 16:03:00","173","2","2015/8/19","172","0.0116"
"liyanjing","2015/11/13 17:31:17","86","1","2015/11/13","86","0.0116"
"zhouzheng","2015/11/13 13:33:24","86","1","2015/11/14","85","0.0116"
"panshaoliang","2015/11/13 15:55:57","86","1","2015/11/13","86","0.0116"
"qiuxiandong","2015/11/13 11:21:55","86","1","2015/11/13","86","0.0116"
"baitian","2015/11/13 16:08:41","86","1","2015/11/13","86","0.0116"
"wangzhen","2015/8/18 16:48:07","173","2","2015/8/19","172","0.0116"
"chenqihua","2015/11/13 15:49:35","86","1","2015/11/13","86","0.0116"
"longhongliang","2015/8/19 11:13:22","172","2","2015/8/20","171","0.0116"
"panruijun","2015/8/18 17:01:26","173","2","2015/8/19","172","0.0116"
"lizhengyi","2015/11/13 13:33:23","86","1","2015/11/19","80","0.0116"
"zhangguoqing","2015/11/13 11:48:37","86","1","2015/11/13","86","0.0116"
"zhangminming","2015/11/13 16:01:14","86","1","2015/11/13","86","0.0116"
"longyi","2015/11/13 17:30:45","86","1","2015/11/13","86","0.0116"
"shaojing","2015/8/18 15:34:47","173","2","2015/8/20","171","0.0116"
"zhengsiyuan","2015/11/13 16:59:44","86","1","2015/11/13","86","0.0116"
"wangxiaoping","2015/11/13 15:21:17","86","1","2015/11/13","86","0.0116"
"haoshuang","2015/11/13 17:27:29","86","1","2015/11/13","86","0.0116"
"huxiaofan","2015/11/13 12:02:58","86","1","2015/11/13","86","0.0116"
"zhengsixuan","2015/8/20 15:32:13","171","2","2015/11/11","88","0.0117"
"rentao","2015/8/21 10:28:26","170","2","2015/12/8","61","0.0118"
"liuxinlan","2015/8/21 13:40:40","170","2","2015/11/25","74","0.0118"
"zhonghua","2015/8/21 14:17:51","170","2","2015/11/24","75","0.0118"
"zhujunrong","2015/8/21 14:05:40","170","2","2015/11/6","93","0.0118"
"lichangqing","2015/8/21 14:59:59","170","2","2015/12/17","52","0.0118"
"liuyubo","2015/8/21 15:24:55","170","2","2015/8/24","167","0.0118"
"chenyiwen","2015/11/16 13:37:50","83","1","2015/11/20","79","0.0120"
"jinzhaoyin","2015/11/16 16:19:29","83","1","2015/11/16","83","0.0120"
"zhangming","2015/8/24 13:55:13","167","2","2016/1/26","12","0.0120"
"liwenjin","2015/11/16 14:01:38","83","1","2015/11/16","83","0.0120"
"liyanran","2015/11/16 14:17:40","83","1","2015/11/16","83","0.0120"
"liujingxuan","2015/8/24 14:12:02","167","2","2015/10/26","104","0.0120"
"xingyongbin","2015/8/25 11:13:14","166","2","2015/11/12","87","0.0120"
"xiejia_1","2015/11/16 17:18:30","83","1","2015/11/16","83","0.0120"
"dongke","2015/8/25 11:13:37","166","2","2015/11/9","90","0.0120"
"suping","2015/11/16 16:38:23","83","1","2015/11/16","83","0.0120"
"zhaoshiwu","2015/8/25 09:11:03","166","2","2015/8/26","165","0.0120"
"jiangshan","2015/11/16 16:50:56","83","1","2015/11/16","83","0.0120"
"wuqingfeng","2015/8/25 17:18:17","166","2","2015/8/26","165","0.0120"
"zhangcong","2015/11/16 14:00:53","83","1","2015/11/18","81","0.0120"
"fanxiaojing","2015/8/24 16:41:27","167","2","2015/9/21","139","0.0120"
"lixinwei","2015/8/25 15:41:06","166","2","2015/8/26","165","0.0120"
"guoxiongmi","2015/8/25 14:55:38","166","2","2015/8/27","164","0.0120"
"jinmin","2015/11/16 14:18:08","83","1","2015/11/16","83","0.0120"
"chenguifang","2015/11/16 09:43:03","83","1","2015/11/16","83","0.0120"
"ouyangningxiang","2015/11/16 16:34:05","83","1","2015/11/18","81","0.0120"
"zhangyu_4","2015/11/16 09:51:51","83","1","2015/11/16","83","0.0120"
"lvxuesong","2015/11/16 13:54:57","83","1","2015/11/16","83","0.0120"
"liuchang","2015/11/16 14:43:00","83","1","2015/11/16","83","0.0120"
"gaoliang_1","2015/11/16 17:22:58","83","1","2015/11/17","82","0.0120"
"wuxiao","2015/11/16 16:12:48","83","1","2015/11/17","82","0.0120"
"caijinlin","2015/8/25 15:41:29","166","2","2015/12/28","41","0.0120"
"lihaibin","2015/11/16 17:31:30","83","1","2015/11/16","83","0.0120"
"mapuyu","2015/8/24 17:22:26","167","2","2015/11/19","80","0.0120"
"lizeyi","2015/8/26 16:12:10","165","2","2015/8/28","163","0.0121"
"zhangnan_1","2015/8/26 16:24:48","165","2","2015/8/27","164","0.0121"
"longxiaofeng","2015/8/26 15:10:28","165","2","2015/9/8","152","0.0121"
"zhangyu_1","2015/8/26 16:18:59","165","2","2015/8/27","164","0.0121"
"ruanchao","2015/11/17 16:19:51","82","1","2015/11/17","82","0.0122"
"guanyuchu","2015/11/17 17:41:11","82","1","2015/11/17","82","0.0122"
"liangxingyan","2015/11/17 16:43:19","82","1","2015/11/17","82","0.0122"
"liyin","2015/11/17 15:47:26","82","1","2015/11/17","82","0.0122"
"likeyan","2015/8/27 11:41:21","164","2","2015/12/17","52","0.0122"
"maxiaomeng","2015/11/17 13:58:11","82","1","2015/11/17","82","0.0122"
"linxinlian","2015/11/17 10:21:41","82","1","2015/11/17","82","0.0122"
"renjiazhao","2015/11/17 16:19:51","82","1","2015/11/17","82","0.0122"
"lixiang_3","2015/11/17 15:23:21","82","1","2015/11/17","82","0.0122"
"wulinli","2015/11/17 11:05:13","82","1","2015/11/17","82","0.0122"
"lijia","2015/11/17 16:30:32","82","1","2015/11/17","82","0.0122"
"bulisheng","2015/8/27 17:32:56","164","2","2015/8/28","163","0.0122"
"liuxiaolu","2015/8/27 14:45:46","164","2","2015/8/28","163","0.0122"
"xiangchengbin","2015/11/17 17:24:54","82","1","2015/11/18","81","0.0122"
"wangzheng","2015/11/17 14:59:24","82","1","2015/11/17","82","0.0122"
"daiweiwei","2015/11/17 16:13:24","82","1","2015/11/17","82","0.0122"
"linping_1","2015/11/17 11:40:33","82","1","2015/11/17","82","0.0122"
"lihui_3","2015/11/17 13:41:05","82","1","2015/11/17","82","0.0122"
"yeyaohua","2015/11/17 16:04:10","82","1","2015/11/17","82","0.0122"
"wangke_1","2015/11/17 09:53:53","82","1","2015/11/17","82","0.0122"
"taoguanghua","2015/11/17 14:24:17","82","1","2015/11/18","81","0.0122"
"chenhao_2","2015/11/17 14:25:58","82","1","2015/11/17","82","0.0122"
"zhupin","2015/8/27 14:32:19","164","2","2015/9/15","145","0.0122"
"luowenhao","2015/8/27 14:02:06","164","2","2015/10/14","116","0.0122"
"huxiukun","2015/11/17 16:51:37","82","1","2015/11/17","82","0.0122"
"mengshuya","2015/11/17 11:06:14","82","1","2015/11/23","76","0.0122"
"chengpeng","2015/11/17 13:31:09","82","1","2015/11/17","82","0.0122"
"wujuan","2015/11/17 10:21:03","82","1","2015/11/17","82","0.0122"
"duxinyi","2015/11/17 15:49:41","82","1","2015/11/17","82","0.0122"
"guchenxi","2015/11/17 10:56:56","82","1","2015/11/17","82","0.0122"
"liuxijia","2015/11/17 14:56:32","82","1","2015/12/1","68","0.0122"
"heshaojun","2015/11/17 14:46:13","82","1","2015/11/17","82","0.0122"
"heyueling","2015/11/17 17:34:56","82","1","2015/11/17","82","0.0122"
"hongliuqing","2015/8/27 15:47:29","164","2","2015/8/28","163","0.0122"
"zhangwei","2015/8/27 11:57:07","164","2","2015/9/2","158","0.0122"
"zhanshouming","2015/11/17 15:36:48","82","1","2015/11/17","82","0.0122"
"gonghao","2015/8/27 17:12:45","164","2","2015/9/29","131","0.0122"
"jianghuiping","2015/11/17 11:18:10","82","1","2015/11/17","82","0.0122"
"liucong","2015/8/27 16:12:14","164","2","2015/8/28","163","0.0122"
"chenlili_1","2015/8/28 10:08:57","163","2","2015/9/7","153","0.0123"
"sunliangyan","2015/11/18 15:34:51","81","1","2015/11/18","81","0.0123"
"xingyulun","2015/11/18 11:25:15","81","1","2015/11/18","81","0.0123"
"xuzhewen","2015/11/18 15:57:21","81","1","2015/11/18","81","0.0123"
"zhangzhe_2","2015/8/28 14:11:12","163","2","2015/9/21","139","0.0123"
"yaoyincheng","2015/11/18 16:03:17","81","1","2015/11/18","81","0.0123"
"hanlinan","2015/11/18 17:05:07","81","1","2015/12/7","62","0.0123"
"xuzhen","2015/11/18 15:21:07","81","1","2015/12/8","61","0.0123"
"tangrunzhi","2015/11/18 17:10:57","81","1","2015/12/9","60","0.0123"
"mona","2015/11/18 11:00:19","81","1","2015/11/18","81","0.0123"
"xiongluqin","2015/11/18 14:53:23","81","1","2015/11/25","74","0.0123"
"bishengzhao","2015/11/18 10:09:30","81","1","2015/11/18","81","0.0123"
"caishanshan","2015/11/18 15:44:17","81","1","2015/11/18","81","0.0123"
"shaofei","2015/11/18 14:28:44","81","1","2015/11/23","76","0.0123"
"jimeiyun","2015/8/28 14:08:04","163","2","2016/1/13","25","0.0123"
"yeye","2015/11/18 10:40:02","81","1","2015/11/18","81","0.0123"
"zhoumi_1","2015/11/18 14:47:10","81","1","2015/11/18","81","0.0123"
"yiyang_1","2015/11/18 10:43:33","81","1","2015/11/18","81","0.0123"
"zoubiying","2015/11/18 11:31:35","81","1","2015/11/18","81","0.0123"
"qufang","2015/8/28 11:12:04","163","2","2015/8/25","166","0.0123"
"sunxiao","2015/11/18 15:20:19","81","1","2015/11/18","81","0.0123"
"baochuanjia","2015/11/18 15:19:30","81","1","2015/12/17","52","0.0123"
"suyu","2015/11/18 09:56:03","81","1","2015/11/30","69","0.0123"
"chenshuxiao","2015/8/28 15:14:15","163","2","2015/9/21","139","0.0123"
"xulili","2015/8/28 10:21:15","163","2","2015/9/21","139","0.0123"
"guoxiu","2015/11/18 17:16:36","81","1","2015/11/27","72","0.0123"
"zhangxianlong","2015/11/18 16:03:44","81","1","2015/11/18","81","0.0123"
"wangjianrong","2015/11/18 11:52:50","81","1","2015/11/18","81","0.0123"
"zhangli_5","2015/11/18 16:12:35","81","1","2015/11/18","81","0.0123"
"suxin","2015/11/18 11:00:18","81","1","2015/11/18","81","0.0123"
"xuhuaqing","2015/11/18 11:27:09","81","1","2015/11/24","75","0.0123"
"lirui_1","2015/8/28 14:33:35","163","2","2015/9/21","139","0.0123"
"zhangjingjing","2015/8/28 14:02:42","163","2","2015/9/22","138","0.0123"
"yefan","2015/11/18 11:36:13","81","1","2015/11/18","81","0.0123"
"huangqiuming","2015/8/28 17:37:36","163","2","2015/8/30","161","0.0123"
"zhoumengshan","2015/11/18 15:57:22","81","1","2015/11/18","81","0.0123"
"zhangzhiding","2015/11/18 12:00:50","81","1","2015/11/24","75","0.0123"
"zhuyi_1","2015/11/18 16:10:31","81","1","2015/11/27","72","0.0123"
"limeng","2015/11/18 16:29:15","81","1","2015/11/18","81","0.0123"
"dingjun","2015/11/18 16:33:14","81","1","2015/11/18","81","0.0123"
"yangchengqi","2015/11/18 15:19:29","81","1","2015/11/18","81","0.0123"
"shenzhangjie","2015/11/18 11:33:34","81","1","2015/11/18","81","0.0123"
"jialimin","2015/11/18 10:48:59","81","1","2015/11/18","81","0.0123"
"daiyanli","2015/11/18 09:10:37","81","1","2015/11/18","81","0.0123"
"liuzhen_1","2015/11/18 10:17:36","81","1","2015/11/18","81","0.0123"
"wangfei_2","2015/11/18 16:51:08","81","1","2015/11/18","81","0.0123"
"sunchenglong","2015/11/18 11:00:18","81","1","2015/11/18","81","0.0123"
"huruiqi","2015/11/18 11:50:54","81","1","2015/11/23","76","0.0123"
"daibo","2015/8/31 11:34:33","160","2","2016/1/26","12","0.0125"
"hulihua","2015/11/19 15:05:01","80","1","2015/11/19","80","0.0125"
"yaoliyong","2015/11/19 10:29:02","80","1","2015/12/3","66","0.0125"
"huangjingjing_1","2015/11/19 15:57:58","80","1","2015/11/19","80","0.0125"
"pengjinjing","2015/11/19 13:36:04","80","1","2015/11/25","74","0.0125"
"zhaoweiguo","2015/8/31 15:21:27","160","2","2015/9/12","148","0.0125"
"tanglili","2015/11/19 15:00:47","80","1","2015/11/19","80","0.0125"
"wangxinxin","2015/11/19 14:33:53","80","1","2015/11/19","80","0.0125"
"zhanghao_2","2015/11/19 16:25:05","80","1","2015/11/19","80","0.0125"
"zenghourui","2015/11/19 14:48:04","80","1","2015/11/19","80","0.0125"
"fanxuejun","2015/11/19 16:11:18","80","1","2015/11/19","80","0.0125"
"maoshouxian","2015/11/19 15:15:21","80","1","2015/11/20","79","0.0125"
"guxianghui","2015/8/31 10:22:07","160","2","2015/11/24","75","0.0125"
"wangjunyu","2015/8/31 14:02:44","160","2","2015/9/2","158","0.0125"
"zhuminli","2015/11/19 16:06:26","80","1","2015/11/19","80","0.0125"
"xiequn","2015/8/31 12:24:58","160","2","2016/1/21","17","0.0125"
"houzongli","2015/8/31 10:21:44","160","2","2015/11/24","75","0.0125"
"liudan_1","2015/11/19 17:23:05","80","1","2015/11/25","74","0.0125"
"xuchengliang","2015/11/19 15:13:54","80","1","2015/11/19","80","0.0125"
"qiuhua_1","2015/8/31 12:12:17","160","2","2015/11/24","75","0.0125"
"shizhenghui","2015/11/19 14:44:11","80","1","2015/11/19","80","0.0125"
"wuqiang","2015/11/19 12:42:24","80","1","2015/11/19","80","0.0125"
